id byear psire pdam cdam csire sire.changed dam.changed problem sgen dgen rsire rdam
BELF000653800055 2015 USAM000066747399 BELF000626379965 BELF000626379965 USAM000066747399 NO NO SIRE 1 0 0 BELF000626379965
BELF000050667029 2014 ITAM000000008218 BELF000626410812 BELF000626410812 ITAM000000008218 NO NO SIRE 1 0 0 BELF000626410812
BELF000956649672 2016 NLDM000295614274 BELF000626867197 BELF000626867197 NLDM000295614274 NO NO SIRE 1 0 0 BELF000626867197
BELF000456468163 2015 NLDM000843570795 BELF000627350139 BELF000627350139 NLDM000843570795 NO NO SIRE 1 0 0 BELF000627350139
BELF000063912252 2019 840M003132417775 BELF000652641796 BELF000652641796 CANM000107567492 YES NO DAM 1 1 CANM000107567492 0
BELF000652641782 2016 USAM000133088245 BELF000656275834 BELF000656275834 USAM000133088245 NO NO SIRE 1 0 0 BELF000656275834
BELF000752552205 2015 BELM000928079801 BELF000656289118 BELF000656289118 BELM000928079801 NO NO SIRE 1 0 0 BELF000656289118
BELF000161497901 2008 USAM000060000320 BELF000661440603 BELF000661440603 USAM000060000320 NO NO SIRE 1 0 0 BELF000661440603
BELF000464618443 2021 DEUM001405290977 BELF000663942430 BELF000663942430 DEUM001405290977 NO NO SIRE 1 0 0 BELF000663942430
BELF000366051480 2023 840M003125993715 BELF000664166718 BELF000664166718 840M003125993715 NO NO ??? 1 1 0 0
BELM000866524959 2023 USAM000137028067 BELF000862623447 BELF000664539966 USAM000137028067 NO YES SIRE 1 1 0 BELF000664539966
BELF000156475768 2015 DEUM000534650505 BELF000727325510 BELF000727325510 USAM000138851507 YES NO DAM 1 1 USAM000138851507 0
BELF000461670014 2018 NLDM000546483691 BELF000753805120 BELF000753805120 NLDM000546483691 NO NO SIRE 1 0 0 BELF000753805120
BELF000261749412 2017 840M003010354086 BELF000757274561 BELF000757274561 840M003010354086 NO NO DAM 0 1 840M003010354086 0
BELF000858710038 2016 USAM000072851652 BELF000757955206 BELF000757955206 USAM000072851652 NO NO ??? 1 1 0 0
BELF000263563107 2019 BELM000956122277 BELF000758957407 BELF000758957407 BELM000956122277 NO NO DAM 0 1 BELM000956122277 0
BELF000863879201 2019 840M003125993715 BELF000758957410 BELF000758957410 840M003125993715 NO NO ??? 1 1 0 0
BELF000860909169 2019 840M003125993715 BELF000758968732 BELF000758968732 840M003125993715 NO NO SIRE 1 0 0 BELF000758968732
BELF000156289132 2012 USAM000132337980 BELF000761496306 BELF000761496306 USAM000132337980 NO NO SIRE 1 0 0 BELF000761496306
BELF000266341212 2022 840M003209641351 BELF000063545482 BELF000761746689 840M003209641351 NO YES SIRE 1 1 0 BELF000761746689
BELF000466341211 2022 840M003149236600 BELF000761746689 BELF000761746689 840M003209641351 YES NO DAM 1 1 840M003209641351 0
BELF000563610805 2020 DEUM000539782028 BELF000763651854 BELF000763651854 DEUM000539782028 NO NO SIRE 1 0 0 BELF000763651854
BELF000766524906 2023 840M003125993715 BELF000064539955 BELF000764539926 840M003125993715 NO YES SIRE 1 1 0 BELF000764539926
BELF000156019429 2015 USAM000062768990 BELF000828325304 BELF000828325304 USAM000062768990 NO NO SIRE 1 0 0 BELF000828325304
BELF000158515748 2016 GBRM000000631308 BELF000857345622 BELF000857345622 GBRM000000631308 NO NO ??? 1 1 0 0
BELF000863563040 2019 CANM000012478085 BELF000858957432 BELF000858957432 CANM000012478085 NO NO SIRE 1 0 0 BELF000858957432
BELF000961583623 2019 FRAM002229184217 BELF000859312018 BELF000859312018 FRAM002229184217 NO NO SIRE 1 0 0 BELF000859312018
BELF000164993808 2022 840M003011816312 BELF000861959729 BELF000861959729 840M003011816312 NO NO SIRE 1 0 0 BELF000861959729
BELF000864933918 2022 840M003200824757 BELF000956806438 BELF000956806438 840M003200824757 NO NO SIRE 1 0 0 BELF000956806438
BELF000656475791 2015 USAM000070541519 BELF000957169274 BELF000957169274 USAM000070541519 NO NO ??? 1 1 0 0
BELF000064186262 2020 ITAM033990287543 BELF000961833345 BELF000961833345 ITAM033990287543 NO NO SIRE 1 0 0 BELF000961833345
BELF000266415969 2023 NLDM000641394676 BELF000964445267 BELF000964445267 NLDM000641394676 NO NO SIRE 1 0 0 BELF000964445267
BELF000260702771 2006 CANM000101424328 BELF099628914107 BELF099628914107 CANM000101424328 NO NO SIRE 1 0 0 BELF099628914107
